title,description,published,link,media,desc_tokens,text,topic
민주당 ‘이완규 임명 무력화’ 법안 강행,더불어민주당이 9일 국회 법제사법위원회에서 한덕수 대통령 권한대행의 헌법재판관 후보자 지명을 무력화하는 내용의 헌법재판소법 개정안을 일방 처리했다,2025-04-09 16:13:00,https://www.chosun.com/politics/assembly/2025/04/10/NGEHRMKESZEHTFIIY7PCH7K4OQ/,조선닷컴,"['더불어민주당', '국회', '법제', '사법', '위원회', '한덕수', '대통령', '권한', '대행', '헌법', '재판관', '후보자', '지명', '무력', '내용', '헌법', '재판소', '개정안', '일방', '처리']",민주당 ‘이완규 임명 무력화’ 법안 강행 더불어민주당이 9일 국회 법제사법위원회에서 한덕수 대통령 권한대행의 헌법재판관 후보자 지명을 무력화하는 내용의 헌법재판소법 개정안을 일방 처리했다,3
민주당 초선들 ‘한덕수 재탄핵’ 압박,더불어민주당 초선 의원들이 9일 한덕수 대통령 권한대행을 비롯해 최상목 경제부총리 심우정 검찰총장의 탄핵소추를 추진하겠다고 했다 이들은 한 대행을 향해선 이완규 법제처장과 함상훈 서울고법 부장판사를 문형배이미선 헌법재판관 후임으로 지명한 것을 철회하지 않으면 탄핵소추를 추진하겠다고 했고 최 부총리와 심 총장에 대해선 탄핵소추돼야 한다고 했다,2025-04-09 16:09:00,https://www.chosun.com/politics/assembly/2025/04/10/K5SH3R7HFJG6ZHECDYAVSNPVRE/,조선닷컴,"['더불어민주당', '초선', '의원', '한덕수', '대통령', '권한', '대행', '비롯하', '최상목', '경제', '부총리', '심우정', '검찰', '총장', '탄핵', '소추', '추진', '다고', '대행', '향하', '아서', '이완규', '법제', '처장', '함상훈', '서울고법', '부장', '판사', '문형배', '이미선', '헌법', '재판관', '후임', '지명', '철회', '으면', '탄핵', '소추', '추진', '다고', '부총리', '총장', '대하', '아서', '탄핵', '소추', '어야', 'ㄴ다고']",민주당 초선들 ‘한덕수 재탄핵’ 압박 더불어민주당 초선 의원들이 9일 한덕수 대통령 권한대행을 비롯해 최상목 경제부총리 심우정 검찰총장의 탄핵소추를 추진하겠다고 했다 이들은 한 대행을 향해선 이완규 법제처장과 함상훈 서울고법 부장판사를 문형배이미선 헌법재판관 후임으로 지명한 것을 철회하지 않으면 탄핵소추를 추진하겠다고 했고 최 부총리와 심 총장에 대해선 탄핵소추돼야 한다고 했다,3
"이완규, ‘국민의힘 당적 논란’에 “정당 가입한 적 없다”",헌법재판관 후보자로 지명된 이완규 법제처장은 민주당 일각에서 제기된 국민의힘 당적 보유 논란에 대해 저는 국민의힘을 비롯해 어떤 정당에도 가입해 정치활동을 한 적이 없다고 9일 밝혔다,2025-04-09 03:42:00,https://www.chosun.com/national/court_law/2025/04/09/AHUNWCECKJA3RNVCFOVQ75NIIQ/,조선닷컴,"['헌법', '재판관', '후보자', '지명', '이완규', '법제처장', '민주당', '일각', '제기', '국민의', '당적', '보유', '논란', '대하', '국민', '비롯하', '정당', '가입', '정치', '활동', '다고', '밝히']","이완규, ‘국민의힘 당적 논란’에 “정당 가입한 적 없다” 헌법재판관 후보자로 지명된 이완규 법제처장은 민주당 일각에서 제기된 국민의힘 당적 보유 논란에 대해 저는 국민의힘을 비롯해 어떤 정당에도 가입해 정치활동을 한 적이 없다고 9일 밝혔다",3
"민주당 초선들 “韓, 이완규·함상훈 지명 철회 안하면 탄핵 추진""",더불어민주당 초선 의원 모임인 더민초가 9일 한덕수 대통령 권한대행을 향해 지금이라도 이완규함상훈 헌법재판관 지명을 철회하라며 만일 철회하지 않는다면 우리는 내란수괴 아바타 한덕수 총리의 탄핵을 추진하겠다고 했다 더민초는 최상목 경제부총리와 심우정 검찰총장도 탄핵돼야 한다고 했다,2025-04-09 07:15:00,https://www.chosun.com/politics/assembly/2025/04/09/NORPAIF3E5BC3OJEVHCIVDFHUI/,조선닷컴,"['더불어민주당', '초선', '의원', '모임', '더민초', '한덕수', '대통령', '권한', '대행', '향하', '지금', '이라도', '이완규', '함상훈', '헌법', '재판관', '지명', '철회', '라며', '철회', '는다면', '내란', '수괴', '아바타', '한덕수', '총리', '탄핵', '추진', '다고', '더민초', '최상목', '경제', '부총리', '심우정', '검찰', '총장', '탄핵', '어야', 'ㄴ다고']","민주당 초선들 “韓, 이완규·함상훈 지명 철회 안하면 탄핵 추진"" 더불어민주당 초선 의원 모임인 더민초가 9일 한덕수 대통령 권한대행을 향해 지금이라도 이완규함상훈 헌법재판관 지명을 철회하라며 만일 철회하지 않는다면 우리는 내란수괴 아바타 한덕수 총리의 탄핵을 추진하겠다고 했다 더민초는 최상목 경제부총리와 심우정 검찰총장도 탄핵돼야 한다고 했다",3
"‘권한대행 헌법재판관 지명 금지’, 민주당 주도 법사위 통과",대통령 권한대행이 대통령 몫의 헌법재판관을 지명할 수 없도록 하는 헌법재판소법 개정안이 9일 더불어민주당 주도로 국회 법제사법위원회를 통과했다,2025-04-09 02:03:00,https://www.chosun.com/politics/assembly/2025/04/09/F5UIZXAUCVAFJFCBG6ZL7CGHDE/,조선닷컴,"['대통령', '권한', '대행', '대통령', '헌법', '재판관', '지명', '도록', '헌법', '재판소', '개정안', '더불어민주당', '주도', '국회', '법제', '사법', '위원회', '통과']","‘권한대행 헌법재판관 지명 금지’, 민주당 주도 법사위 통과 대통령 권한대행이 대통령 몫의 헌법재판관을 지명할 수 없도록 하는 헌법재판소법 개정안이 9일 더불어민주당 주도로 국회 법제사법위원회를 통과했다",3
민주 “내란 동조 세력의 권한 남용”… 재탄핵으로 가나,더불어민주당은 8일 한덕수 대통령 권한대행이 문형배이미선 헌법재판관 후임으로 이완규 법제처장과 함상훈 서울고등법원 부장판사를 지명하자 원천 무효라며 강력 반발했다 이재명 대표는 이날 한 대행이 자기가 대통령이 된 거로 착각한 것 같다며 오버하신 것 같다고 했다 박찬대 원내대표는 윤석열이 대통령일 때 국무총리를 한 한덕수가 파면된 대통령을 대신해 인사를 했다고밖에 볼 수 없다고 했다,2025-04-08 13:09:00,https://www.chosun.com/politics/assembly/2025/04/08/A6R2JIYXFRC4HJNWN3V425N5DQ/,조선닷컴,"['더불어민주당', '한덕수', '대통령', '권한', '대행', '문형배', '이미선', '헌법', '재판관', '후임', '이완규', '법제처장', '함상훈', '서울고등법원', '부장', '판사', '지명', '원천', '무효', '라며', '강력', '반발', '이재명', '대표', '이날', '대행', '대통령', '착각', '다며', '오버', '다고', '박찬대', '원내', '대표', '윤석열', '대통령', '국무총리', '한덕수', '파면', '대통령', '대신', '인사', '다고', '밖에', '다고']",민주 “내란 동조 세력의 권한 남용”… 재탄핵으로 가나 더불어민주당은 8일 한덕수 대통령 권한대행이 문형배이미선 헌법재판관 후임으로 이완규 법제처장과 함상훈 서울고등법원 부장판사를 지명하자 원천 무효라며 강력 반발했다 이재명 대표는 이날 한 대행이 자기가 대통령이 된 거로 착각한 것 같다며 오버하신 것 같다고 했다 박찬대 원내대표는 윤석열이 대통령일 때 국무총리를 한 한덕수가 파면된 대통령을 대신해 인사를 했다고밖에 볼 수 없다고 했다,3
‘대통령 할 일’ 하는 韓대행… 요동치는 정국,한덕수 대통령 권한대행 국무총리가 8일 마용주 대법관 후보자와 마은혁 헌법재판관 후보자를 임명하고 이완규 법제처장과 함상훈 서울고법 부장판사를 신임 헌법재판관 후보자로 지명했다 이함 후보자는 오는 18일 임기6년 만료로 퇴임하는 문형배이미선 헌법재판관 후임이다 문이 재판관은 문재인 전 대통령이 지명임명한 대통령 몫 헌법재판관이다 한 대행이 대통령 몫 재판관 지명권을 행사하자 더불어민주당은 한 대행이 위헌위법적으로 대통령 인사권을 행사하고 있다고 반발했다 한 대행은 이날 정부서울청사에서 주재한 국무회의에 앞서 발표한 국민께 드리는 말씀을 통해 문형배이미선 재판관의 후임을 지명한 것과 관련해 경제부총리에 대한 탄핵소추안이 언제든 국회 본회의에서 의결될 수 있는 상태에서 헌재 결원 사태가 반복돼 헌재 결정이 지연될 경우 대선 관리와 필수 추경 준비 통상 현안 대응 등에 심대한 차질이 불가피하고 국론 분열도 다시 격화할 우려가 크다고 했다 마용주 대법관과 마은혁 헌법재판관은 작년 12월 국회 인사청문회와 본회의 임명 동의 선출 절차를 거쳤다,2025-04-08 15:53:00,https://www.chosun.com/politics/goverment/2025/04/09/SOSAYFOMKBFJ7BKI3MTMM4WOEM/,조선닷컴,"['한덕수', '대통령', '권한', '대행', '국무총리', '마용주', '법관', '후보자', '마은혁', '헌법', '재판관', '후보자', '임명', '이완규', '법제처장', '함상훈', '서울고법', '부장', '판사', '신임', '헌법', '재판관', '후보자', '지명', '이함', '후보자', '18', '임기', '만료', '퇴임', '문형배이미선', '헌법', '재판관', '후임', '재판관', '문재인', '대통령', '지명', '임명', '대통령', '헌법', '재판관', '대행', '대통령', '재판관', '지명', '행사', '더불어민주당', '대행', '위헌', '위법', '대통령', '인사', '행사', '다고', '반발', '대행', '이날', '정부서울청사', '주재', '국무', '회의', '앞서', '발표', '국민', '드리', '말씀', '통하', '문형', '배이미선', '재판관', '후임', '지명', '관련', '경제', '부총리', '대하', '탄핵', '소추', '국회', '본회의', '의결', '상태', '헌재', '결원', '사태', '반복', '헌재', '결정', '지연', '경우', '대선', '관리', '필수', '추경', '준비', '통상', '현안', '대응', '심대하', '차질', '불가피하', '국론', '분열', '다시', '격화', '우려', '다고', '마용주', '법관', '마은혁', '헌법', '재판관', '작년', '12', '국회', '인사', '청문회', '본회의', '임명', '동의', '선출', '절차', '거치']",‘대통령 할 일’ 하는 韓대행… 요동치는 정국 한덕수 대통령 권한대행 국무총리가 8일 마용주 대법관 후보자와 마은혁 헌법재판관 후보자를 임명하고 이완규 법제처장과 함상훈 서울고법 부장판사를 신임 헌법재판관 후보자로 지명했다 이함 후보자는 오는 18일 임기6년 만료로 퇴임하는 문형배이미선 헌법재판관 후임이다 문이 재판관은 문재인 전 대통령이 지명임명한 대통령 몫 헌법재판관이다 한 대행이 대통령 몫 재판관 지명권을 행사하자 더불어민주당은 한 대행이 위헌위법적으로 대통령 인사권을 행사하고 있다고 반발했다 한 대행은 이날 정부서울청사에서 주재한 국무회의에 앞서 발표한 국민께 드리는 말씀을 통해 문형배이미선 재판관의 후임을 지명한 것과 관련해 경제부총리에 대한 탄핵소추안이 언제든 국회 본회의에서 의결될 수 있는 상태에서 헌재 결원 사태가 반복돼 헌재 결정이 지연될 경우 대선 관리와 필수 추경 준비 통상 현안 대응 등에 심대한 차질이 불가피하고 국론 분열도 다시 격화할 우려가 크다고 했다 마용주 대법관과 마은혁 헌법재판관은 작년 12월 국회 인사청문회와 본회의 임명 동의 선출 절차를 거쳤다,3
대학 때 5·18 실상 알려 ‘유공자’… 尹과 46년 지기,한덕수 대통령 권한대행이 8일 지명한 이완규64 헌법재판관 후보자는 현 정부 출범과 함께 법제처장에 임명돼 재직해 왔다 이 후보자는 윤석열 전 대통령의 서울대 법대 79학번 사법연수원 23기 동기다 노무현 전 대통령이 재임 중 검사와의 대화를 할 때 참여한 검사 출신이다,2025-04-08 16:03:00,https://www.chosun.com/politics/goverment/2025/04/09/YBZTCMKN5ZEPNHTYFQ3TN3VVII/,조선닷컴,"['한덕수', '대통령', '권한', '대행', '지명', '이완규', '64', '헌법', '재판관', '후보자', '정부', '출범', '법제처장', '임명', '재직', '후보자', '윤석열', '대통령', '서울대', '법대', '79', '학번', '사법', '연수원', '23', '동기', '노무현', '대통령', '재임', '검사', '대화', '참여', '검사', '출신']",대학 때 5·18 실상 알려 ‘유공자’… 尹과 46년 지기 한덕수 대통령 권한대행이 8일 지명한 이완규64 헌법재판관 후보자는 현 정부 출범과 함께 법제처장에 임명돼 재직해 왔다 이 후보자는 윤석열 전 대통령의 서울대 법대 79학번 사법연수원 23기 동기다 노무현 전 대통령이 재임 중 검사와의 대화를 할 때 참여한 검사 출신이다,3
권한대행의 ‘대통령 몫’ 첫 지명… 헌재 중도·보수 우위로 바뀌어,한덕수 권한대행이 8일 대통령 몫 헌법재판관 2명을 지명하면서 내세운 표면적 이유는 헌재 기능 마비를 막겠다는 것이다 오는 18일 문형배이미선 재판관이 후임 없이 퇴임하면 헌재는 6인 체제가 돼 최소 두 달 이상 제 기능을 할 수 없게 된다 이 때문에 한 대행이 그동안 보류했던 마은혁 헌법재판관 임명과 함께 2명의 새 재판관이완규 법제처장 함상훈 서울고등법원 부장판사 지명으로 헌법재판소 9인 체제를 복구시키려 한다는 것이다,2025-04-08 16:03:00,https://www.chosun.com/politics/politics_general/2025/04/09/N2GJLT4RU5CL7EMERFUSMZI3DQ/,조선닷컴,"['한덕수', '권한', '대행', '대통령', '헌법', '재판관', '지명', '면서', '내세우', '표면', '이유', '헌재', '기능', '마비', '다는', '18', '문형배이미선', '재판관', '후임', '없이', '퇴임', '헌재', '체제', '최소', '기능', 'ㄴ다', '때문', '대행', '그동안', '보류', '마은혁', '헌법', '재판관', '임명', '재판관', '이완규', '법제처장', '함상훈', '서울고등법원', '부장', '판사', '지명', '헌법', '재판소', '체제', '복구', '시키', 'ㄴ다는']",권한대행의 ‘대통령 몫’ 첫 지명… 헌재 중도·보수 우위로 바뀌어 한덕수 권한대행이 8일 대통령 몫 헌법재판관 2명을 지명하면서 내세운 표면적 이유는 헌재 기능 마비를 막겠다는 것이다 오는 18일 문형배이미선 재판관이 후임 없이 퇴임하면 헌재는 6인 체제가 돼 최소 두 달 이상 제 기능을 할 수 없게 된다 이 때문에 한 대행이 그동안 보류했던 마은혁 헌법재판관 임명과 함께 2명의 새 재판관이완규 법제처장 함상훈 서울고등법원 부장판사 지명으로 헌법재판소 9인 체제를 복구시키려 한다는 것이다,3
민주 “한덕수의 헌재 후임 지명 무효... 효력정지 가처분 신청”,더불어민주당이 8일 한덕수 대통령 권한대행의 대통령 몫 헌법재판관 지명에 대해 권한쟁의 심판과 효력 정지 가처분 신청 등을 통해 이번 지명이 원천적 무효임을 밝힐 것이라고 했다 한 대행은 대통령 몫으로 임명된 문형배이미선 재판관의 후임자로 이완규 법제처장과 함상훈 서울고등법원 부장판사를 지명했다,2025-04-08 03:09:00,https://www.chosun.com/politics/politics_general/2025/04/08/RFAESLN4ENAMLDVGOO5PRQUQ3Q/,조선닷컴,"['더불어민주당', '한덕수', '대통령', '권한', '대행', '대통령', '헌법', '재판관', '지명', '대하', '권한', '쟁의', '심판', '효력', '정지', '처분', '신청', '통하', '지명', '원천', '무효', '밝히', '라고', '대행', '대통령', '임명', '문형배', '이미선', '재판관', '후임자', '이완규', '법제처장', '함상훈', '서울고등법원', '부장', '판사', '지명']",민주 “한덕수의 헌재 후임 지명 무효... 효력정지 가처분 신청” 더불어민주당이 8일 한덕수 대통령 권한대행의 대통령 몫 헌법재판관 지명에 대해 권한쟁의 심판과 효력 정지 가처분 신청 등을 통해 이번 지명이 원천적 무효임을 밝힐 것이라고 했다 한 대행은 대통령 몫으로 임명된 문형배이미선 재판관의 후임자로 이완규 법제처장과 함상훈 서울고등법원 부장판사를 지명했다,3
우원식 “韓대행의 이완규·함상훈 인사청문요청서 안 받겠다”,우원식 국회의장은 8일 한덕수 대통령 권한대행 국무총리가 이완규 법제처장과 함상훈 서울고법 부장판사를 헌법재판관 후보자로 지명한 것과 관련해 한 대행이 두 후보자에 대한 인사청문요청안을 제출하더라도 이를 접수하지 않겠다고 했다,2025-04-08 05:02:00,https://www.chosun.com/politics/assembly/2025/04/08/ZCUYSEXRHVGPFC2X436OMARZWI/,조선닷컴,"['우원식', '국회', '의장', '한덕수', '대통령', '권한', '대행', '국무총리', '이완규', '법제', '처장', '함상훈', '서울고법', '부장', '판사', '헌법', '재판관', '후보자', '지명', '관련', '대행', '후보자', '대하', '인사', '청문', '요청', '제출', '접수', '다고']",우원식 “韓대행의 이완규·함상훈 인사청문요청서 안 받겠다” 우원식 국회의장은 8일 한덕수 대통령 권한대행 국무총리가 이완규 법제처장과 함상훈 서울고법 부장판사를 헌법재판관 후보자로 지명한 것과 관련해 한 대행이 두 후보자에 대한 인사청문요청안을 제출하더라도 이를 접수하지 않겠다고 했다,3
"이완규, 尹과 대학·연수원 동기...계엄땐 “대통령이란 사람이” 비판",한덕수 대통령 권한대행 국무총리가 8일 헌법재판관 후보자로 지명한 이완규64 법제처장은 윤석열 전 대통령이 지난해 12월 3일 비상 계엄을 선포한 것을 계기로 탄핵 소추되자 윤 전 대통령에 대한 실망감을 드러낸 바 있다,2025-04-08 03:22:00,https://www.chosun.com/politics/goverment/2025/04/08/O3HKLZQDYVDFHO5TJ66T6UT3LI/,조선닷컴,"['한덕수', '대통령', '권한', '대행', '국무총리', '헌법', '재판관', '후보자', '지명', '이완규', '64', '법제', '처장', '윤석열', '대통령', '지난해', '12', '비상', '계엄', '선포', '계기', '탄핵', '소추', '대통령', '대하', '실망감', '드러내']","이완규, 尹과 대학·연수원 동기...계엄땐 “대통령이란 사람이” 비판 한덕수 대통령 권한대행 국무총리가 8일 헌법재판관 후보자로 지명한 이완규64 법제처장은 윤석열 전 대통령이 지난해 12월 3일 비상 계엄을 선포한 것을 계기로 탄핵 소추되자 윤 전 대통령에 대한 실망감을 드러낸 바 있다",3
"민주 “헌법재판관 지명 韓대행, 정신 나가... 스스로 탄핵 유도”",더불어민주당이 8일 한덕수 대통령 권한대행의 대통령 몫 헌법재판관 2명을 지명한 데 대해 위헌적 행태라며 강력 대응할 것이라고 반발했다 민주당 의원들은 한 대행을 향해 정신이 나갔다 스스로 탄핵을 유도한다고도 했다,2025-04-08 01:33:00,https://www.chosun.com/politics/assembly/2025/04/08/QOTN4YNVURFBPGI7I7O3BQX6TE/,조선닷컴,"['더불어민주당', '한덕수', '대통령', '권한', '대행', '대통령', '헌법', '재판관', '지명', '대하', '위헌', '행태', '라며', '강력', '대응', '라고', '반발', '민주당', '의원', '대행', '향하', '정신', '나가', '스스로', '탄핵', '유도', 'ㄴ다고']","민주 “헌법재판관 지명 韓대행, 정신 나가... 스스로 탄핵 유도” 더불어민주당이 8일 한덕수 대통령 권한대행의 대통령 몫 헌법재판관 2명을 지명한 데 대해 위헌적 행태라며 강력 대응할 것이라고 반발했다 민주당 의원들은 한 대행을 향해 정신이 나갔다 스스로 탄핵을 유도한다고도 했다",3
"박찬대 “한덕수, 尹 탄핵 국민 뜻 받들어 마은혁 헌법재판관 임명해야”",더불어민주당 박찬대 원내대표는 8일 한덕수 대통령 권한대행 국무총리가 마은혁 헌법재판관을 임명해야 한다고 재차 강조했다,2025-04-08 00:58:00,https://www.chosun.com/politics/politics_general/2025/04/08/KMMBT7JZFFCXNN3IUN4Z7HE7CU/,조선닷컴,"['더불어민주당', '박찬대', '원내', '대표', '한덕수', '대통령', '권한', '대행', '국무총리', '마은혁', '헌법', '재판관', '임명', 'ㄴ다고', '재차', '강조']","박찬대 “한덕수, 尹 탄핵 국민 뜻 받들어 마은혁 헌법재판관 임명해야” 더불어민주당 박찬대 원내대표는 8일 한덕수 대통령 권한대행 국무총리가 마은혁 헌법재판관을 임명해야 한다고 재차 강조했다",3
이석연 前법제처장 “韓대행 재판관 지명은 중대한 법 위반”,대통령 권한대행의 권한 행사는 현상유지에 그쳐야 한다 한덕수 대통령 권한대행 국무총리의 헌법재판소 재판관 후보자 2명을 지명한 것은 헌법 수호 관점에서 용납될 수 없는 중대한 법 위반 행위다이석연 전 법제처장은 10일 한 권한대행이 대통령 추천 몫의 헌법재판소 재판관을 지명한 것을 두고 이같이 지적했다 한 권한대행이 문형배이미선 헌법재판소 재판관 후임으로 이완규 법제처장과 함상훈 서울고법 부장판사를 지명한 것을 두고 월권 논란이 빚어진 가운데 법제처가 2010년 발간한 헌법 주석서에서 권한대행의 역할을 두고 임시적 성질로 보아 현상 유지적인 것에 국한된다고 밝힌 데 따른 것이다당시 처장으로서 헌법 주석서를 발간하고 감수한 이 처장은 이날 동아일보와의 단독 인터뷰에서 대통령 궐위된 경우와 사고인 경우를 분리해 대통령 권한행사 범위를 적극적으로 보는 것은 자의적인 해석이라며 헌법 개정과 해석의 주관부처인 법제처의 헌법 주석서 지침을 따라야 한다고 강조했,2025-04-10 20:10:00,https://www.donga.com/news/Politics/article/all/20250410/131392965/1,동아닷컴,"['대통령', '권한', '대행', '권한', '행사', '현상', '유지', '그치', '어야', 'ㄴ다', '한덕수', '대통령', '권한', '대행', '국무총리', '헌법', '재판소', '재판관', '후보자', '지명', '헌법', '수호', '관점', '용납', '중대', '위반', '행위', '이석연', '법제', '처장', '10', '권한', '대행', '대통령', '추천', '헌법', '재판소', '재판관', '지명', '지적', '권한', '대행', '문형배이미선', '헌법', '재판소', '재판관', '후임', '이완규', '법제처장', '함상훈', '서울고법', '부장', '판사', '지명', '월권', '논란', '빚어지', '가운데', '법제처', '2010', '발간', '헌법', '주석서', '권한', '대행', '역할', '임시', '성질', '현상', '유지', '국한', 'ㄴ다고', '밝히', '따르', '당시', '처장', '헌법', '주석서', '발간', '감수', '처장', '동아일보', '단독', '인터뷰', '대통령', '궐위', '경우', '사고', '경우', '분리', '대통령', '권한', '행사', '범위', '적극', '자의', '해석', '라며', '헌법', '개정', '해석', '주관', '부처', '법제처', '헌법', '주석서', '지침', '따르', 'ㄴ다고', '강조']",이석연 前법제처장 “韓대행 재판관 지명은 중대한 법 위반” 대통령 권한대행의 권한 행사는 현상유지에 그쳐야 한다 한덕수 대통령 권한대행 국무총리의 헌법재판소 재판관 후보자 2명을 지명한 것은 헌법 수호 관점에서 용납될 수 없는 중대한 법 위반 행위다이석연 전 법제처장은 10일 한 권한대행이 대통령 추천 몫의 헌법재판소 재판관을 지명한 것을 두고 이같이 지적했다 한 권한대행이 문형배이미선 헌법재판소 재판관 후임으로 이완규 법제처장과 함상훈 서울고법 부장판사를 지명한 것을 두고 월권 논란이 빚어진 가운데 법제처가 2010년 발간한 헌법 주석서에서 권한대행의 역할을 두고 임시적 성질로 보아 현상 유지적인 것에 국한된다고 밝힌 데 따른 것이다당시 처장으로서 헌법 주석서를 발간하고 감수한 이 처장은 이날 동아일보와의 단독 인터뷰에서 대통령 궐위된 경우와 사고인 경우를 분리해 대통령 권한행사 범위를 적극적으로 보는 것은 자의적인 해석이라며 헌법 개정과 해석의 주관부처인 법제처의 헌법 주석서 지침을 따라야 한다고 강조했,3
마은혁 ‘韓대행 재판관 지명’ 헌법소원-가처분 주심 맡는다,한덕수 대통령 권한대행 국무총리가 대통령 몫 헌법재판소 재판관 후보자 2명을 지명한 것에 대한 헌법소원 및 효력정지 가처분 사건의 주심을 마은혁 재판관이 맡게 됐다법조계에 따르면 헌재는 10일 무작위 전차 추첨 방식으로 주심을 마 재판관에게 배정했다 주심은 사실관계 확인과 결정문 초안 작성 등의 역할을 맡는다한 권한대행은 8일 대통령 몫 헌재 재판관 후보자로 이완규 법제처장과 함상훈 서울고법 부장판사를 지명해 위헌 논란이 일었다 9일 김정환 법무법인 도담 변호사를 시작으로 법무법인 덕수 등은 대통령 고유 권한인 헌재 재판관 후보자 지명권을 권한대행이 행사하는 것은 위헌이라며 헌법소원을 청구하면서 재판관 지명의 효력을 정지해달라는 가처분을 함께 신청했다 10일까지 총 6건의 헌법소원 및 가처분 신청이 접수됐다마 재판관은 지난해 12월 26일 더불어민주당 추천의 국회 몫 후보자로 선출됐지만 한 권한대행이 임명을 보류하고 최상목 부총리도 조한창 정계선 재판관만 임명하면서,2025-04-10 20:05:00,https://www.donga.com/news/Society/article/all/20250410/131391413/1,동아닷컴,"['한덕수', '대통령', '권한', '대행', '국무총리', '대통령', '헌법', '재판소', '재판관', '후보자', '지명', '대하', '헌법', '소원', '효력', '정지', '처분', '사건', '주심', '마은혁', '재판관', '법조', '따르', '헌재', '10', '작위', '전차', '추첨', '방식', '주심', '재판관', '배정', '주심', '사실', '관계', '확인', '결정문', '초안', '작성', '역할', '는다', '권한', '대행', '대통령', '헌재', '재판관', '후보자', '이완규', '법제처장', '함상훈', '서울고법', '부장', '판사', '지명', '위헌', '논란', '김정환', '법무', '법인', '도담', '변호사', '시작', '법무', '법인', '덕수', '대통령', '고유', '권한', '헌재', '재판관', '후보자', '지명', '권한', '대행', '행사', '위헌', '라며', '헌법', '소원', '청구', '면서', '재판관', '지명', '효력', '정지', '라는', '처분', '신청', '10', '헌법', '소원', '처분', '신청', '접수', '다마', '재판관', '지난해', '12', '26', '더불어민주당', '추천', '국회', '후보자', '선출', '권한', '대행', '임명', '보류', '최상목', '부총리', '조한창', '정계선', '재판관', '임명', '면서']",마은혁 ‘韓대행 재판관 지명’ 헌법소원-가처분 주심 맡는다 한덕수 대통령 권한대행 국무총리가 대통령 몫 헌법재판소 재판관 후보자 2명을 지명한 것에 대한 헌법소원 및 효력정지 가처분 사건의 주심을 마은혁 재판관이 맡게 됐다법조계에 따르면 헌재는 10일 무작위 전차 추첨 방식으로 주심을 마 재판관에게 배정했다 주심은 사실관계 확인과 결정문 초안 작성 등의 역할을 맡는다한 권한대행은 8일 대통령 몫 헌재 재판관 후보자로 이완규 법제처장과 함상훈 서울고법 부장판사를 지명해 위헌 논란이 일었다 9일 김정환 법무법인 도담 변호사를 시작으로 법무법인 덕수 등은 대통령 고유 권한인 헌재 재판관 후보자 지명권을 권한대행이 행사하는 것은 위헌이라며 헌법소원을 청구하면서 재판관 지명의 효력을 정지해달라는 가처분을 함께 신청했다 10일까지 총 6건의 헌법소원 및 가처분 신청이 접수됐다마 재판관은 지난해 12월 26일 더불어민주당 추천의 국회 몫 후보자로 선출됐지만 한 권한대행이 임명을 보류하고 최상목 부총리도 조한창 정계선 재판관만 임명하면서,3
